Assignment Number,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,1,"Which of these is not a step in natural selection?","variation","underpopulation","struggle for existence","survival of the fittest","underpopulation"
1,2,"Which of these is not a characteristic of fitness?","Fitness is environment-specific.","Fitness is species-specific.","Higher reproductive rate means higher fitness.","Fitness should be measured across several generations.","Higher reproductive rate means higher fitness."
1,3,"Ecology is the scientific study of ______ that determine the distribution and abundance of organisms.","statics","interactions","dynamics","habitat","interactions"
1,4,"Which of these is not a characteristic of fitness?","Fitness is environment-specific.","Fitness is species-specific.","Fitness works on traits such as size and speed.","Fitness should be measured across several generations.","Fitness works on traits such as size and speed."
1,5,"In the Greek word root of Ecology, Oikos refers to","household","preservation","environment","study","household"
1,6,"'Enquiry into plants' is a book written by","Theophrastus","Linnaeus","Malthus","Humboldt","Theophrastus"
1,7,"In the Greek word root of Ecology, logos refers to","household","preservation","environment","study","study"
1,8,"Which of these is not a kind of selection","directional","stochastic","disruptive","stabilising","stochastic"
1,9,"Who amongst these is considered the father of Biogeography?","Theophrastus","Linnaeus","Malthus","Humboldt","Humboldt"
1,10,"Ecology is the scientific study of interactions among organisms and their ______","habitat","niche","environment","population","environment"
2,1,"Hierarchy emerges almost inevitably through a wide variety of evolutionary processes, for the simple reason that hierarchical structures are ______","perfect","imperfect","stable","unstable","stable"
2,2,"The mitochondrion is a/an","Sub-cellular organelle","Cell","Tissue","Organ","Sub-cellular organelle"
2,3,"The hierarchical system was given by","Simon","Watson","Hutchinson","Humboldt","Simon"
2,4,"There is more biodiversity in areas with","less competition, less predation","less competition, more predation","more competition, more predation","more competition, less predation","more competition, more predation"
2,5,"'groups of actually or potentially interbreeding natural populations, which are reproductively isolated from other such groups' is a definition of","cells","species","ecosystems","biomes","species"
2,6,"'the diversity that exists within an ecosystem' is","alpha (a) biodiversity","beta (ß) biodiversity","gamma (?) biodiversity","delta (d) biodiversity","alpha (a) biodiversity"
2,7,"'the diversity that exists among different geographies' is","alpha (a) biodiversity","beta (ß) biodiversity","gamma (?) biodiversity","delta (d) biodiversity","gamma (?) biodiversity"
2,8,"The emergent principle can be stated as","Whole < sum of parts","Whole = sum of parts","Whole > sum of parts","None of these","Whole > sum of parts"
2,9,"The laboratory approach to Ecology uses","equations","models","observations","experiments","experiments"
2,10,"For more biodiversity, the level of disturbance should be","less","intermediate","more","none of these","intermediate"
3,1,"Egrets with buffaloes are an example of","colony","commensalism","protocooperation","allelopathy","commensalism"
3,2,"I observe a monkey take a tick out of another monkey's head and eat it. In the social context, this behaviour would be called","tick hunting","auto grooming","allo grooming","foraging","allo grooming"
3,3,"Birds on giraffe are an example of","colony","commensalism","protocooperation","allelopathy","protocooperation"
3,4,"Harmonious interactions occur where","at least one participant is benefited","at least one participant is unharmed","both participants are benefitted","both participants are unharmed","both participants are unharmed"
3,5,"I observe a bird take a tick out of another bird's head and eat it. In the social context, this behaviour would be called","tick hunting","auto grooming","allo grooming","foraging","allo grooming"
3,6,"The interaction between exotic shrubs and trees through the action of seed predators is an example of","infraspecific competition","apparent competition","disguised competition","harmonious competition","apparent competition"
3,7,"Trampling of grass due to the movement of animals is an example of","mutualism","amensalism","commensalism","protocooperation","amensalism"
3,8,"The scientific study of animal behaviour is called","behaviourism","ecology","ethology","prey-predator dynamics","ethology"
3,9,"An inventory of behaviours exhibited by an animal during a behaviour exercise is called","ecogram","ethogram","behaviourogram","animalogram","ethogram"
3,10,"Hamilton's rule can be stated as","$rB < C$","$rB > C$","$rB = C$","$rB + C = 0$","$rB > C$"
4,1,"If we all became vegetarians, we'll be able to support our large populations. This can be explained through","10% rule","1% rule","trophic cascade","biodiversity","10% rule"
4,2,"Trees -> Birds -> Parasites -> Hyperparasites represents","upright pyramid of numbers","inverted pyramid of numbers","spindle pyramid of numbers","dumb-bell pyramid of numbers","inverted pyramid of numbers"
4,3,"Net primary productivity is given by","$APAR * LUE$","$APAR + LUE$","$APAR - LUE$","$APAR / LUE$","$APAR * LUE$"
4,4,"At the compensation point,","photosynthesis = respiration","photosynthesis < respiration","photosynthesis > respiration","photosynthesis = 0","photosynthesis = respiration"
4,5,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. As we move up the food chain,","available energy decreases","available energy increases","available energy remains same","available energy is zero everywhere","available energy decreases"
4,6,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","more number of hawks than grasshoppers can be supported","more number of grasshoppers than hawks can be supported","equal number of hawks and grasshoppers can be supported","none of these","more number of grasshoppers than hawks can be supported"
4,7,"Tree -> Frugivorous birds -> Hawk represents","upright pyramid of numbers","inverted pyramid of numbers","spindle pyramid of numbers","dumb-bell pyramid of numbers","spindle pyramid of numbers"
4,8,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","hawk is producer","hawk is consumer and carnivore","hawk is consumer and herbivore","hawk is decomposer","hawk is consumer and carnivore"
4,9,"Glacial lakes are typical examples of","eutrophic lakes","hypereutrophic lakes","oligotrophic lakes","mesotrophic lakes","oligotrophic lakes"
4,10,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","frog is producer","frog is consumer and carnivore","frog is consumer and herbivore","frog is decomposer","frog is consumer and carnivore"
5,1,"The juvenile mortality rate is the annual number of deaths of juveniles per","100 births","1000 births","100 live births","1000 live births","1000 live births"
5,2,"Pan traps are used for sampling","bees","butterflies","non-pollinator insects","pollinator insects","pollinator insects"
5,3,"______ employs a simple rule of selecting every kth unit starting with a number chosen at random from 1 to k as the random start.","Simple random sampling","Systematic sampling","Stratified sampling","Multistage sampling","Systematic sampling"
5,4,"Which of these is not a measure of absolute population density?","total count","pelt count","capture-recapture method","removal method","pelt count"
5,5,"The logistic growth equation, when plotted, appears","I shaped","J shaped","S shaped","O shaped","S shaped"
5,6,"A sampling procedure such that each possible combination of sampling units out of the population has the same chance of being selected is referred to as","Simple random sampling","Systematic sampling","Stratified sampling","Multistage sampling","Simple random sampling"
5,7,"The minimum replacement level fertility for a population to grow should be greater than","1","2","3","4","2"
5,8,"Cover board surveys are typically used for sampling","herpetofauna","fishes","large mammals","carnivores","herpetofauna"
5,9,"Which of these is true?","Physiological longevity > Ecological longevity","Physiological longevity = Ecological longevity","Physiological longevity < Ecological longevity","a or b","a or b"
5,10,"______ is how close the measured values are to the correct value.","Accuracy","Precision","Bias","Variance","Accuracy"
6,1,"Importance value can be written as","Relative density + Relative frequency X Relative dominance","Relative density X Relative frequency + Relative dominance","Relative density + Relative frequency + Relative dominance","Relative density X Relative frequency X Relative dominance","Relative density + Relative frequency + Relative dominance"
6,2,"A species found most frequently in a particular community, but also present occasionally in others is called","accidental species","indifferent species","selective species","exclusive species","selective species"
6,3,"When compared to generalist species, specialist species have","narrower niches","broader niches","same-size niches","none of these","narrower niches"
6,4,"A climax caused by wildfires is an example of","climatic climax","edaphic climax","disclimax","catastrophic climax","catastrophic climax"
6,5,"Lithosere is an example of","hydrosere","xerosere","psammosere","halosere","xerosere"
6,6,"Which of these is correct?","Fundamental niche > Realised niche","Fundamental niche = Realised niche","Fundamental niche < Realised niche","a or b","a or b"
6,7,"Importance value varies from","0 to 10","0 to 50","0 to 100","0 to 300","0 to 300"
6,8,"The climax near Tindni village is being controlled by disturbance by cattle. This is an example of","climatic climax","edaphic climax","disclimax","catastrophic climax","disclimax"
6,9,"Which of these is not a characteristic of pioneer species","ability to grow on bare rocks","ability to tolerate extreme temperatures","large size","short life span","large size"
